序号,固定名字,稀有度,描述,基础价格
77,铁匠学徒,普通,学习锻造技术的年轻人，只能打造最简单的装备。,0.29
78,商人护卫,普通,雇佣来保护商队的普通佣兵，战斗力有限。,0.34
79,海盗船长宠物,普通,海盗船长饲养的鹦鹉或猴子，会模仿人类行为。,0.22
80,龙裔平民,普通,拥有微弱龙族血统的人类，身体素质略优于常人。,0.38
81,精灵儿童,普通,未成年的精灵，魔法天赋尚未觉醒。,0.27
81,矮人儿童,普通,年幼的矮人，力量不及成年矮人但同样顽固。,0.25
83,兽人幼崽,普通,兽人族的孩童，比人类儿童更强壮好斗。,0.26
84,地精商人,普通,四处行商的地精，商品质量参差不齐但价格便宜。,0.33
85,牛头人奴隶,普通,被奴役的牛头人，戴着沉重的枷锁限制力量。,0.40
86,吸血鬼仆从,普通,吸血鬼的凡人仆役，渴望获得不死之身。,0.35
87,狼人感染者,普通,被狼人咬伤但尚未完全变异的感染者。,0.37
88,石元素碎片,普通,石元素崩解后的小碎片，仍保留微弱土元素力量。,0.32
89,火元素余烬,普通,火元素熄灭后的灰烬，接触时仍有余温。,0.29
90,水元素水滴,普通,水元素消散后留下的魔法水滴。,0.24
91,风元素气流,普通,风元素消失后形成的微弱气流。,0.26
92,雷元素火花,普通,雷元素残存的静电火花，偶尔会发出噼啪声。,0.28
93,光元素微粒,普通,光元素分解后的微小粒子，散发柔和光芒。,0.31
94,暗元素阴影,普通,暗元素残留的一小片阴影，会轻微扭曲光线。,0.30
95,森林狼,普通,森林中的普通狼群，群体作战时威胁较大。,0.34
96,草原狮,普通,草原上的掠食者，单独或小群体活动。,0.39
97,山丘巨人幼童,普通,未成年的山丘巨人，身高只有成年巨人的一半。,0.46
98,深海鱼人,普通,生活在深海区域的鱼人变种，能够承受巨大水压。,0.37
99,沙漠强盗,普通,沙漠中的劫匪，熟悉沙漠环境擅长伏击商队。,0.35
100,雪原野人,普通,寒冷地区的原始人类，适应极端低温环境。,0.33
101,丛林野人,普通,热带雨林中的部落居民，擅长使用吹箭和毒药。,0.32
102,沼泽女巫学徒,普通,跟随沼泽女巫学习黑暗魔法的学徒。,0.36
103,火山矮人矿工,普通,在火山矿区工作的矮人，耐高温能力极强。,0.41
104,天空岛翼人平民,普通,居住在浮空岛屿的翼人种族普通成员，飞行能力有限。,0.38
105,地底侏儒工匠,普通,生活在地下的侏儒工匠，擅长制造精密机械。,0.40
106,半人马牧民,普通,草原上的半人马部落成员，放牧马群为生。,0.42
107,海妖侍女,普通,海妖的女仆，拥有部分海妖特征但力量较弱。,0.34
108,树人幼苗,普通,刚刚开始活动的树木，智慧和力量都在成长中。,0.31
109,水晶蜘蛛,普通,以魔法水晶为食的蜘蛛变种，甲壳呈现水晶光泽。,0.43
110,火焰甲虫,普通,甲壳能够燃烧的昆虫，死亡时会自爆。,0.37
111,冰晶蛇,普通,寒冰凝聚形成的蛇形生物，身体透明如冰。,0.39
112,雷霆蜥蜴,普通,能够储存和释放电能的蜥蜴变种。,0.41
113,风暴海燕,普通,在暴风雨中翱翔的海鸟，羽毛具有电绝缘性。,0.33
114,大地穿山甲,普通,擅长挖掘的哺乳动物，鳞甲坚硬如岩石。,0.38
115,迷雾幽灵,普通,由浓雾凝聚而成的低等灵体，能够模糊视线。,0.35
116,瘟疫老鼠,普通,携带传染病的鼠类，被咬伤可能感染疾病。,0.30
117,辐射蟑螂,普通,在魔法辐射区变异的蟑螂，生存能力极强。,0.29
118,魔法书虫,普通,以魔法书籍为食的昆虫，体内蕴含杂乱魔力。,0.32
119,钟楼石像鬼,普通,教堂钟楼上的装饰石像，夜晚会活动巡逻。,0.44
120,墓地食尸鬼,普通,以尸体为食的亡灵生物，爪牙带有尸毒。,0.40
121,古堡吸血鬼奴仆,普通,吸血鬼古堡中的最低等仆役，负责日常杂务。,0.36
122,魔法学院扫地工,普通,魔法学院的清洁人员，长期接触魔法残留物。,0.27
123,铁匠铺学徒工,普通,铁匠铺的新手，负责拉风箱和搬运材料。,0.26
124,酒馆侍者,普通,酒馆的服务人员，消息灵通但战斗力低下。,0.23
125,农场稻草人,普通,农田里的稻草人，偶尔会因魔法影响而活动。,0.22
126,玩具士兵,普通,被魔法赋予生命的玩具士兵，攻击力有限。,0.24
127,纸人式神,普通,阴阳师制作的初级式神，由符纸构成容易损坏。,0.28
128,泥土傀儡,普通,用泥土和稻草制作的简易傀儡，力量大但笨拙。,0.33
129,水傀儡,普通,用水元素凝聚的初级傀儡，形态不稳定。,0.31
130,火焰傀儡,普通,用火焰凝聚的初级傀儡，持续燃烧需要魔力维持。,0.37
131,风向标精怪,普通,屋顶风向标获得生命形成的小精怪。,0.25
132,扫帚精怪,普通,巫师的扫帚获得意识形成的低等精怪。,0.26
133,茶壶精怪,普通,长期使用后产生意识的魔法茶壶，能够自己倒茶。,0.24
134,烛台精怪,普通,魔法蜡烛的烛台获得生命，能够移动和照亮黑暗。,0.27
135,镜子幽灵,普通,镜面中栖息的低等灵体，能够模仿照镜者的动作。,0.34
136,画像鬼魂,普通,被封印在画像中的灵魂，只能在一定范围内活动。,0.35
137,音乐盒精灵,普通,音乐盒中的小精灵，能够演奏简单的旋律。,0.29
138,玩偶妖怪,普通,被遗弃玩偶产生的怨念形成的低级妖怪。,0.32
139,伞妖,普通,雨伞获得意识形成的妖怪，能够飞行和防御。,0.31
140,灯笼鬼,普通,灯笼获得生命形成的妖怪，能够发光和漂浮。,0.30
141,算盘精,普通,老账房先生的算盘产生的意识，擅长计算。,0.28
142,毛笔小妖,普通,文人使用的毛笔获得生命，能够自己写字画画。,0.27
143,砚台精怪,普通,墨砚产生的意识，能够自动研磨墨汁。,0.29
144,书籍虫灵,普通,古老书籍中诞生的意识，知晓书中内容但力量微弱。,0.33
145,棋盘棋子兵,普通,魔法棋盘上的棋子获得生命，只能按规则移动。,0.25
146,骰子小妖,普通,赌博用的骰子获得意识，能够自己滚动改变点数。,0.26
147,扑克卫兵,普通,扑克牌上的图案获得生命，攻击方式与其牌面相关。,0.30
148,国际象棋兵,普通,国际象棋的兵棋子获得生命，只能前进不能后退。,0.28
149,将棋盘士,普通,将棋盘上的棋子获得生命，移动方式符合将棋规则。,0.29
150,围棋石精,普通,围棋棋子获得意识，能够自己滚动到棋盘位置。,0.27
151,丘丘人萨满,普通,丘丘人部落的施法者，能够引导元素力量进行简单攻击。,1.25
152,丘丘岩盔王,普通,丘丘人的变异体，体表覆盖岩石盔甲防御力增强。,3.45
153,丘丘暴徒,普通,强壮的丘丘人战士，使用大型武器造成可观伤害。,2.15
154,骗骗花,普通,伪装成普通植物的魔物，能够突然袭击毫无防备的旅行者。,1.75
155,狂风之核,普通,风元素凝聚的核心，能够制造小型旋风。,2.85
156,遗迹守卫,普通,古代文明留下的自动防卫机械，行动缓慢但火力强大。,4.25
157,遗迹侦察者,普通,小型飞行防卫机械，机动性强但装甲薄弱。,3.15
158,盗宝团成员,普通,四处寻找宝藏的盗贼组织成员，战斗力普通但狡猾。,1.55
159,愚人众先遣队,普通,愚人众组织的普通士兵，装备制式武器和盔甲。,2.45
160,深海龙蜥幼体,普通,未成年的深海龙蜥，力量不及成年体但依然危险。,3.75
161,飘浮灵,普通,元素能量凝聚的灵体生物，能够漂浮在空中攻击。,1.35
162,嗜雷兽,普通,以雷电为食的魔物，能够吸收并释放电能。,2.65
163,嗜岩兽,普通,以岩石为食的魔物，牙齿能够咬碎坚硬矿石。,2.95
164,嗜火兽,普通,以火焰为食的魔物，体内温度极高。,2.55
165,嗜冰兽,普通,以寒冰为食的魔物，能够降低周围温度。,2.35
166,兽境猎犬,普通,来自兽境世界的魔物，能够侵蚀空间造成伤害。,3.85
167,兽境幼兽,普通,未成年的兽境生物，侵蚀能力较弱。,2.15
168,流血狗,普通,攻击会造成持续流血效果的魔物，极为难缠。,3.25
169,无相之雷碎片,普通,无相之雷被击败后残留的碎片，仍带有微弱雷电。,1.85
170,无相之风余息,普通,无相之风消散后留下的气流，能够轻微扰动空气。,1.75
171,无相之岩碎块,普通,无相之岩崩解后的小石块，蕴含微量岩元素。,1.95
172,无相之火火星,普通,无相之火熄灭后的火星，接触仍会灼伤。,1.65
173,无相之冰冰晶,普通,无相之冰融化后留下的冰晶，温度极低。,1.55
174,无相之水水滴,普通,无相之水蒸发后凝结的水滴，具有纯净水元素。,1.45
175,无相之草种子,普通,无相之草散落的种子，能够快速生长。,1.35
176,恒常机关阵列碎片,普通,巨大机关崩解后的小零件，结构精密。,2.75
177,魔偶剑鬼残影,普通,魔偶剑鬼留下的战斗残影，威力大减但剑术仍在。,3.95
178,雷电将军人偶,普通,雷电将军制造的初级人偶，拥有基础战斗能力。,4.45
179,若陀龙王鳞片,普通,若陀龙王脱落的鳞片，蕴含强大岩元素力量。,4.75
180,特瓦林羽毛,普通,风魔龙特瓦林掉落的羽毛，带有风之祝福。,4.25
181,急冻树幼苗,普通,急冻树的幼苗，能够释放寒冰但威力有限。,3.15
182,爆炎树嫩芽,普通,爆炎树的新生嫩芽，温度不如成熟体高。,3.25
183,电气水晶碎片,普通,电气水晶破碎后的碎片，仍带有静电。,1.95
184,烈焰花花蕊,普通,烈焰花的核心部分，能够产生持续火焰。,1.65
185,冰雾花花朵,普通,冰雾花的花朵，能够释放寒冷雾气。,1.55
186,电气水晶核心,普通,电气水晶的核心部分，电能更集中。,2.15
187,星螺,普通,海边常见的螺类，内部有微弱元素共鸣。,0.85
188,风车菊,普通,随风转动的花朵，蕴含少量风元素。,0.75
189,小灯草,普通,夜间发光的植物，能够照亮小范围区域。,0.65
190,慕风蘑菇,普通,生长在高处的蘑菇，吸收风元素成长。,0.95
191,霓裳花,普通,璃月地区特有的花卉，花瓣如霓裳般美丽。,0.85
192,清心,普通,生长在山峰顶端的植物，心境平和时才能采摘。,1.05
193,琉璃百合,普通,古代璃月的国花，现在已十分罕见。,1.25
194,琉璃袋,普通,生长在陡峭岩壁的植物，采摘困难。,1.15
195,海灵芝,普通,海洋中的灵芝变种，具有水元素特性。,0.95
196,天云草实,普通,生长在雷元素浓郁地区的果实，带有静电。,1.35
197,血斛,普通,稻妻地区的红色花卉，常生长在战场遗迹。,1.45
198,鸣草,普通,稻妻地区的特殊植物，叶片会发出轻微鸣响。,1.25
199,幽灯蕈,普通,层岩巨渊地下的发光蘑菇，能够提供照明。,1.05
200,树王圣体菇,普通,须弥森林中的稀有蘑菇，蕴含生命能量。,1.55
201,劫波莲,普通,生长在悬崖边的高危植物，采摘需要高超技巧。,1.65
202,月莲,普通,夜晚开放的莲花，月光下格外美丽。,1.15
203,帕蒂沙兰,普通,须弥城的名贵花卉，常用于装饰和仪式。,1.45
204,赤念果,普通,沙漠中的植物果实，能够补充水分和能量。,1.05
205,沙脂蛹,普通,沙漠昆虫的蛹，外壳坚硬内部柔软。,1.25
206,悼灵花,普通,生长在战场遗迹的花朵，寄托着逝者的思念。,1.35
207,圣金虫,普通,沙漠中的金色甲虫，崇拜阳光和热量。,1.15
208,红绸,普通,用于装饰和仪式的红色丝绸，蕴含微弱火元素。,0.85
209,幽云,普通,天空中飘浮的深色云朵，似乎有自我意识。,0.95
210,星铁,普通,从天而降的陨铁，含有特殊金属成分。,2.15
211,水晶矿,普通,蕴含元素能量的水晶矿石，用途广泛。,1.45
212,魔晶矿,普通,魔力高度凝结形成的矿石，能量强大但难以处理。,2.25
213,白铁矿,普通,提瓦特大陆常见的金属矿石，用于锻造武器。,1.05
214,夜泊石,普通,夜间会发出微弱光芒的矿石，美观实用。,1.35
215,石珀,普通,岩元素凝结形成的琥珀状矿石，蕴含大地能量。,1.25
216,铁块,普通,冶炼后的铁金属块，锻造的基础材料。,0.95
217,武器强化矿石,普通,用于强化武器的基础矿石，随处可见。,0.85
218,经验书,普通,记录着战斗经验的书籍，阅读可以提升实力。,1.55
219,冒险家经验,普通,冒险家记录的探索心得，对新人很有帮助。,1.25
220,英雄经验,普通,英雄人物撰写的经验手札，内容更加深入。,1.85
221,精锻用魔矿,普通,经过魔法处理的矿石，强化效果更好。,1.95
222,摩拉袋,普通,装着摩拉的小袋子，提瓦特大陆通用货币。,0.75
223,原石碎片,普通,原石破碎后的小碎片，仍蕴含少量祈愿之力。,2.45
224,相遇之缘碎片,普通,相遇之缘破碎后的残片，祈愿效果微弱。,2.15
225,纠缠之缘碎片,普通,纠缠之缘破碎后的残片，命运联系不完整。,2.25
226,脆弱树脂,普通,不稳定的树脂形态，使用后快速恢复体力。,1.75
227,须臾树脂,普通,短时间内有效的树脂，恢复少量体力。,1.25
228,浓缩树脂,普通,浓缩提炼的树脂，恢复更多体力。,2.05
229,洞天宝钱,普通,尘歌壶洞天内使用的特殊货币。,0.65
230,洞天宝鉴,普通,尘歌壶洞天的管理指南，记载各种建设技巧。,1.15
231,摆设图纸,普通,制作摆设家具的设计图纸，需要相应材料。,1.05
232,摆设,普通,用于装饰尘歌壶洞天的普通家具。,0.95
233,仙速瓶,普通,加速摆设制作的特殊药水，效果有限。,1.25
234,祝圣油膏,普通,用于强化圣遗物的油膏，提升经验值。,1.35
235,祝圣精华,普通,圣遗物的精华提取物，强化效果更好。,1.65
236,流浪者经验,普通,流浪冒险家记录的经验，内容杂乱但实用。,1.15
237,见习冒险家笔记,普通,冒险家学徒的学习笔记，适合入门者。,0.95
238,冒险家手册,普通,标准冒险指南，包含基础生存和战斗技巧。,1.05
239,冒险记录,普通,记录冒险过程的日志，有时会记载宝藏位置。,1.25
240,寻宝鸦印,普通,盗宝团使用的标记，可能指示藏宝地点。,1.45
241,藏银鸦印,普通,盗宝团高级成员使用的标记，对应更珍贵的宝藏。,1.75
242,攫金鸦印,普通,盗宝团首领使用的标记，对应重要宝藏。,2.05
243,寻宝罗盘,普通,帮助寻找宝箱的基础道具，精度有限。,1.55
244,口袋锚点,普通,便携式的传送锚点，可以设置临时传送点。,2.25
245,便携营养袋,普通,存放食物的小袋子，可以快速取用食物。,1.35
246,捕风瓶,普通,收集风种子的瓶子，可以产生风场。,1.65
247,忍冬之果,普通,忍冬树结出的果实，蕴含冰元素力量。,1.95
248,放热瓶,普通,能够释放热量的瓶子，用于抵御严寒。,1.25
249,叁零式营养餐,普通,营养均衡的便携食品，能够快速恢复体力。,1.05
250,叁零式便携食品,普通,标准军用便携食品，口味一般但能填饱肚子。,0.95
251,红羽团扇,普通,红色的传统团扇，扇动时可以产生微风。,1.15
252,红羽饰品,普通,用红色羽毛制作的装饰品，美观大方。,0.85
253,红羽胸针,普通,胸前的羽毛装饰，提升少许魅力。,0.75
254,红羽发饰,普通,头发上的羽毛装饰，轻便美观。,0.65
255,红羽项链,普通,项链上挂着红色羽毛，据说是幸运象征。,0.95
256,红羽手链,普通,手腕上的羽毛装饰，据说能带来好运。,0.85
257,红羽耳环,普通,耳朵上的羽毛装饰，随风飘动很优雅。,0.75
258,红羽腰带,普通,腰间的羽毛装饰，兼具美观和实用性。,0.95
259,红羽靴子,普通,装饰着羽毛的靴子，穿着轻便舒适。,1.15
260,红羽手套,普通,装饰羽毛的手套，不影响手部灵活性。,0.95
261,红羽披风,普通,红色羽毛制成的披风，非常醒目。,1.25
262,红羽帽子,普通,装饰羽毛的帽子，提供少量防晒功能。,0.85
263,红羽面具,普通,羽毛装饰的面具，用于伪装或仪式。,1.05
264,红羽盾牌,普通,镶嵌羽毛的小型盾牌，防御力有限但轻便。,1.35
265,红羽长矛,普通,矛杆装饰羽毛的长矛，攻击范围较大。,1.45
266,红羽弓箭,普通,弓身装饰羽毛的弓箭，射击精准度较高。,1.55
267,红羽法杖,普通,法杖顶端装饰羽毛，提升魔法亲和力。,1.65
268,红羽魔导书,普通,封面装饰羽毛的魔法书，记载初级魔法。,1.75
269,红羽护身符,普通,羽毛制作的护身符，据说能避免厄运。,0.95
270,红羽图腾,普通,羽毛装饰的图腾柱，具有微弱的祝福效果。,1.25
271,红羽祭坛,普通,小型羽毛祭坛，可用于简单仪式。,1.45
272,红羽神像,普通,羽毛装饰的小神像，受到部分部落崇拜。,1.65
273,红羽圣物,普通,被祝福的羽毛遗物，蕴含微弱神圣力量。,1.85
274,红羽遗迹,普通,古代羽毛文明的遗迹碎片，考古价值高。,1.95
275,红羽化石,普通,古代鸟类的羽毛化石，保存完整。,2.05
276,红羽琥珀,普通,包裹着古代羽毛的琥珀，内部羽毛清晰可见。,2.15
277,红羽标本,普通,精心制作的羽毛标本，用于研究和展示。,1.75
278,红羽画卷,普通,描绘羽毛的画卷，笔触细腻逼真。,1.55
279,红羽雕塑,普通,羽毛形状的雕塑，工艺精湛。,1.65
280,红羽陶瓷,普通,羽毛图案的陶瓷器皿，美观实用。,1.35
281,红羽刺绣,普通,羽毛图案的刺绣作品，针法细腻。,1.25
282,红羽织锦,普通,羽毛图案的织锦，质地柔软图案精美。,1.45
283,红羽地毯,普通,羽毛图案的地毯，踩上去柔软舒适。,1.65
284,红羽窗帘,普通,羽毛图案的窗帘，透光性良好。,1.35
285,红羽墙纸,普通,羽毛图案的墙纸，装饰房间很美观。,1.25
286,红羽家具,普通,装饰羽毛图案的家具，风格统一。,1.55
287,红羽餐具,普通,羽毛图案的餐具，用餐时增添情趣。,1.05
288,红羽茶具,普通,羽毛图案的茶具，泡茶时更显雅致。,1.15
289,红羽酒具,普通,羽毛图案的酒具，适合品酒时使用。,1.25
290,红羽灯具,普通,羽毛装饰的灯具，光线柔和温馨。,1.35
291,红羽钟表,普通,羽毛图案的钟表，走时准确外观精美。,1.45
292,红羽镜子,普通,羽毛装饰的镜子，镜面清晰边框精美。,1.55
293,红羽梳妆台,普通,羽毛图案的梳妆台，女性很喜欢。,1.65
294,红羽衣柜,普通,羽毛图案的衣柜，收纳衣物整齐有序。,1.75
295,红羽床铺,普通,羽毛装饰的床铺，睡眠舒适。,1.85
296,红羽沙发,普通,羽毛图案的沙发，坐着很舒服。,1.65
297,红羽桌椅,普通,羽毛图案的桌椅，适合家庭使用。,1.55
298,红羽书架,普通,羽毛图案的书架，容纳书籍井然有序。,1.75
299,红羽书桌,普通,羽毛图案的书桌，适合阅读和写作。,1.65
300,红羽文具,普通,羽毛图案的文具，书写流畅。,1.05
301,丘丘人王,稀有,丘丘人部落的王者，拥有统领其他丘丘人的权威。,12.45
302,深渊法师,稀有,深渊教团的施法者，能够操控元素力量造成巨大威胁。,18.75
303,深渊使徒,稀有,深渊教团的高级成员，战斗力远超普通魔物。,25.50
304,深渊咏者,稀有,深渊教团的祭司，吟唱深渊赞歌增强同伴力量。,22.35
305,愚人众执行官下属,稀有,愚人众执行官的直属部下，实力远超普通士兵。,28.95
306,债务处理人,稀有,愚人众的特殊部队，擅长追债和暗杀任务。,21.65
307,雷萤术士,稀有,操控雷元素萤火虫的法师，能够召唤雷萤协同作战。,19.85
308,冰萤术士,稀有,操控冰元素萤火虫的法师，能够召唤冰萤冻结敌人。,20.45
309,藏镜仕女,稀有,使用镜面魔法的女性法师，能够反射攻击和制造幻象。,24.15
310,火铳游击兵,稀有,使用火铳的愚人众特种兵，远程火力强大。,16.75
311,雷锤前锋军,稀有,使用雷元素战锤的愚人众重装兵，冲锋威力巨大。,23.55
312,岩使游击兵,稀有,使用岩元素魔法的愚人众法师，能够制造岩造物防御。,17.85
313,风拳前锋军,稀有,使用风元素拳套的愚人众格斗家，攻击速度快如风。,18.95
314,水铳重卫士,稀有,使用水元素铳的愚人众重装兵，能够治疗同伴。,22.25
315,冰铳重卫士,稀有,使用冰元素铳的愚人众重装兵，能够冻结敌人。,21.75
316,讨债人,稀有,专门处理债务问题的愚人众特工，手段狠辣。,20.85
317,女士亲卫队,稀有,执行官女士的直属卫队，忠诚且战斗力强大。,29.95
318,公子亲卫队,稀有,执行官公子的直属卫队，擅长水元素战斗。,27.45
319,散兵追随者,稀有,执行官散兵的狂热追随者，行事偏激。,26.85
320,博士改造体,稀有,被博士改造过的实验体，拥有不自然的力量。,31.25
321,富人保镖,稀有,执行官富人的私人保镖，装备精良训练有素。,25.75
322,仆人侍从,稀有,执行官仆人的侍从，擅长情报收集和暗杀。,24.85
323,木偶操纵者,稀有,执行官木偶的傀儡师，能够操纵多个人偶战斗。,28.25
324,队长精英兵,稀有,执行官队长的精英士兵，战术素养极高。,26.35
325,丑角剧团成员,稀有,执行官丑角领导的剧团成员，表演中暗藏杀机。,23.85
326,孔雀羽法师,稀有,使用孔雀羽毛施展华丽魔法的法师，攻击范围广。,19.25
327,赤团法师,稀有,红色团扇法师，能够操控火焰形成各种攻击。,18.35
328,玄文术士,稀有,研究古代文字的法师，能够将文字化为实际力量。,22.95
329,鸣雷法师,稀有,专注于雷元素魔法的法师，能够召唤天雷攻击。,21.45
330,霜寒法师,稀有,专注于冰元素魔法的法师，能够制造极寒领域。,20.55
331,焚焰法师,稀有,专注于火元素魔法的法师，能够引发剧烈爆炸。,19.75
332,涌流法师,稀有,专注于水元素魔法的法师，能够操控巨浪攻击。,21.15
333,狂岚法师,稀有,专注于风元素魔法的法师，能够制造毁灭性龙卷风。,22.05
334,坚岩法师,稀有,专注于岩元素魔法的法师，能够召唤陨石攻击。,23.25
335,滋长法师,稀有,专注于草元素魔法的法师，能够促进植物疯狂生长。,20.85
336,无相之雷核心,稀有,无相之雷的核心部分，蕴含纯净雷元素力量。,35.45
